size,bold,italic,text_len,num_prefix,is_larger_than_common_font,text_case,is_bulleted,label
11,0,0,95,0,0,mixed,0,H3
11,0,0,87,0,0,mixed,0,H3
11,0,0,19,0,0,lower,0,H3
11,0,0,73,0,0,mixed,0,H3
13,1,0,36,1,1,mixed,0,H1
11,1,0,17,0,0,mixed,0,H2
11,0,0,13,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,12,0,0,sentence,0,P
11,1,0,16,0,0,mixed,0,H2
11,0,0,31,0,0,mixed,0,P
11,0,0,21,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,0,31,0,0,mixed,0,P
11,0,0,30,0,0,mixed,0,P
13,1,0,15,1,1,mixed,0,H1
11,0,0,37,0,0,sentence,0,P
11,0,0,25,0,0,sentence,0,P
11,0,0,45,0,0,sentence,0,P
11,0,0,30,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,11,0,0,sentence,0,P
11,0,0,21,0,0,sentence,0,P
11,0,0,37,0,0,sentence,0,P
13,1,0,35,1,1,mixed,0,H1
11,1,0,21,0,0,mixed,0,H2
11,0,0,9,0,0,sentence,0,P
11,0,0,7,0,0,sentence,0,P
11,0,0,16,0,0,mixed,0,P
11,0,0,7,0,0,sentence,0,P
11,0,0,9,0,0,sentence,0,P
11,1,0,21,0,0,mixed,0,H2
11,0,0,7,0,0,sentence,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,5,0,0,sentence,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,6,0,0,sentence,0,P
11,1,0,21,0,0,mixed,0,H2
11,0,0,8,0,0,sentence,0,P
11,0,0,8,0,0,sentence,0,P
11,0,0,7,0,0,sentence,0,P
11,0,0,5,0,0,sentence,0,P
11,0,0,23,0,0,mixed,0,P
11,0,0,15,0,0,mixed,0,P
13,1,0,31,1,1,mixed,0,H2
11,1,0,13,0,0,mixed,0,P
11,1,0,16,0,0,mixed,0,P
11,0,0,16,0,0,mixed,0,P
11,0,0,16,0,0,mixed,0,P
11,0,0,17,0,0,mixed,0,P
13,1,0,49,1,1,mixed,0,H2
11,0,0,48,0,0,mixed,0,P
11,0,0,11,0,0,mixed,0,P
11,0,0,25,0,0,mixed,0,P
11,0,0,20,0,0,mixed,0,P
11,0,0,23,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,0,10,0,0,mixed,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,30,0,0,mixed,0,P
11,0,0,9,0,0,sentence,0,P
11,0,0,23,0,0,sentence,0,P
11,0,0,25,0,0,sentence,0,P
11,0,0,45,0,0,sentence,0,P
11,0,0,21,0,0,sentence,0,P
13,1,0,18,1,1,mixed,0,H2
11,0,0,26,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,0,31,0,0,mixed,0,P
11,0,0,42,0,0,mixed,0,P
11,0,0,28,0,0,mixed,0,P
13,1,0,33,1,1,mixed,0,H2
11,0,0,22,0,0,sentence,0,P
11,0,0,28,0,0,sentence,0,P
11,0,0,35,0,0,sentence,0,P
13,1,0,32,1,1,mixed,0,H2
11,0,0,16,0,0,sentence,0,P
11,0,0,19,0,0,sentence,0,P
11,0,0,26,0,0,sentence,0,P
13,1,0,14,1,1,mixed,0,H2
11,0,0,38,0,0,sentence,0,P
11,0,0,26,0,0,sentence,0,P
11,0,0,33,0,0,sentence,0,P
13,1,0,50,1,1,mixed,0,H2
11,0,0,13,0,0,sentence,0,P
11,0,0,10,0,0,sentence,0,P
11,0,0,14,0,0,sentence,0,P
11,0,0,13,0,0,sentence,0,P
11,0,0,81,0,0,sentence,0,P
12.4,0,0,8,0,0,upper,0,H2
12.4,0,0,7,0,0,upper,0,H2
12.4,0,0,12,0,0,upper,0,H2
12.4,0,0,22,0,0,upper,0,H2
9.4,0,0,36,0,0,upper,0,H3
12.4,1,0,22,0,0,upper,0,H2
7.2,0,0,43,0,0,upper,0,H3
7.2,0,0,45,0,0,upper,0,H3
7.2,0,0,43,0,0,upper,0,H3
7.2,0,0,25,0,0,upper,0,H3
26.4,1,0,22,0,1,mixed,0,H1
23.4,0,0,15,0,1,upper,0,H1
28,1,0,36,0,1,mixed,0,H1
14,0,0,80,0,1,mixed,0,H2
12,0,0,89,0,1,lower,0,P
12,0,0,84,0,1,lower,0,P
12,0,0,92,0,1,lower,0,P
12,0,0,11,0,1,lower,0,P
14,0,0,6,0,1,sentence,0,H2
11.5,0,0,63,0,1,sentence,1,P
11.5,0,0,57,0,1,lower,0,P
11.5,0,0,54,0,1,lower,0,P
11.5,0,0,63,0,1,sentence,1,P
11.5,0,0,58,0,1,sentence,1,P
11.5,0,0,13,0,1,mixed,0,P
11.5,0,0,59,0,1,mixed,1,P
11.5,0,0,21,0,1,lower,0,P
11.5,0,0,59,0,1,sentence,1,P
11.5,0,0,20,0,1,lower,0,P
11.5,0,0,57,0,1,sentence,1,P
11.5,0,0,60,0,1,lower,0,P
11.5,0,0,31,0,1,lower,0,P
11.5,0,0,61,0,1,sentence,1,P
11.5,0,0,28,0,1,lower,0,P
15.3,0,0,15,0,1,upper,0,H2
15.3,1,0,15,0,1,upper,0,H2
11,0,0,17,0,0,mixed,0,P
11,0,0,20,0,0,mixed,0,P
11,0,0,38,0,0,mixed,0,P
11,0,0,28,0,0,mixed,0,P
11,0,0,34,0,0,mixed,0,P
11,0,0,35,0,0,lower,0,P
11,0,0,35,0,0,lower,0,P
11,0,0,36,0,0,lower,0,P
11,0,0,14,0,0,lower,0,P
11,0,0,34,0,0,sentence,0,P
11,0,0,40,0,0,mixed,0,P
11,0,0,32,0,0,lower,0,P
15.3,1,0,19,0,1,upper,0,H2
11,0,0,37,0,0,mixed,0,P
11,0,0,34,0,0,mixed,0,P
11,0,0,34,0,0,mixed,0,P
11,0,0,30,0,0,mixed,0,P
11,0,0,14,0,0,sentence,0,P
11,0,0,38,0,0,mixed,0,P
11,0,0,24,0,0,mixed,1,P
11,0,0,24,0,0,mixed,0,P
11,0,0,27,0,0,mixed,0,P
11,0,0,34,0,0,mixed,0,P
11,0,0,39,0,0,lower,0,P
11,0,0,28,0,0,lower,0,P
11,0,0,36,0,0,lower,0,P
11,0,0,12,0,0,lower,0,P
11,0,0,34,0,0,sentence,0,P
11,0,0,40,0,0,mixed,0,P
11,0,0,30,0,0,lower,0,P
11,0,0,38,0,0,sentence,0,P
11,0,0,32,0,0,lower,0,P
11,0,0,15,0,0,lower,0,P
11.7,1,0,41,0,1,mixed,0,H2
9.7,1,0,2,1,0,mixed,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,0,0,30,0,0,mixed,0,P
9.7,0,0,11,0,0,sentence,0,P
9.7,0,0,39,0,0,mixed,0,P
9.7,0,0,7,0,0,sentence,0,P
9.7,0,0,14,0,0,upper,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,1,0,33,1,0,mixed,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,0,0,41,0,0,mixed,0,P
9.7,0,0,41,0,0,sentence,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,1,0,2,1,0,mixed,0,P
9.7,0,0,26,0,0,mixed,0,P
9.7,0,0,43,0,0,sentence,0,P
9.7,0,0,44,0,0,lower,0,P
9.7,0,0,21,0,0,mixed,0,P
9.7,0,0,45,0,0,mixed,0,P
9.7,0,0,31,0,0,sentence,0,P
9.7,0,0,34,0,0,mixed,0,P
9.7,0,0,6,0,0,sentence,0,P
9.7,0,0,4,0,0,lower,0,P
9.7,0,0,8,0,0,lower,0,P
9.7,0,0,4,0,0,lower,0,P
9.7,0,0,4,0,0,lower,0,P
9.7,0,0,3,0,0,lower,0,P
9.7,1,0,3,1,0,mixed,0,P
9.7,0,0,43,0,0,lower,0,P
9.7,0,0,15,0,0,lower,0,P
9.7,0,0,57,0,0,mixed,0,P
9.7,1,0,4,0,0,sentence,0,H3
9.7,1,0,3,0,0,sentence,0,H3
9.7,1,0,12,0,0,sentence,0,H3
9.7,1,0,4,0,0,mixed,0,H3
9.7,1,0,2,1,0,mixed,0,H3
9.7,1,0,2,1,0,mixed,0,H3
9.7,1,0,2,1,0,mixed,0,H3
9.7,1,0,2,1,0,mixed,0,H3
9.7,1,0,2,1,0,mixed,0,H3
9.7,1,0,2,1,0,mixed,0,H3
9.7,0,0,27,0,0,sentence,0,P
9.7,0,0,3,0,0,sentence,0,P
9.7,1,0,3,1,0,mixed,0,P
9.7,1,0,3,1,0,mixed,0,P
9.7,0,0,96,0,0,sentence,0,P
9.7,0,0,1,0,0,upper,0,P
9.7,0,0,99,0,0,lower,0,P
9.7,0,0,109,0,0,mixed,0,P
9.7,0,0,66,0,0,mixed,0,P
9.7,1,0,4,0,0,sentence,0,H3
9.7,1,0,32,0,0,mixed,0,H3
16,1,0,18,0,1,mixed,0,H2
16,1,0,16,0,1,mixed,0,H2
32,1,0,6,0,1,lower,0,H1
32,1,0,33,0,1,mixed,0,H1
32,1,0,6,0,1,lower,0,H1
32,1,0,7,0,1,lower,0,H1
32,1,0,17,0,1,mixed,0,H1
32,1,0,6,0,1,upper,0,H1
32,1,0,6,0,1,lower,0,H1
32,1,0,7,0,1,lower,0,H1
32,1,0,6,0,1,upper,0,H1
32,1,0,6,0,1,upper,0,H1
24,0,0,36,0,1,mixed,0,H2
24,0,0,33,0,1,mixed,0,H2
24,0,0,15,0,1,mixed,0,H2
20,0,0,14,0,1,sentence,0,H2
10,0,0,101,0,0,mixed,0,P
10,0,0,94,0,0,mixed,0,P
10,0,0,64,0,0,mixed,0,P
20,1,0,24,0,1,mixed,0,H2
16,0,0,58,0,1,mixed,0,H2
16,0,0,19,0,1,mixed,0,P
12,1,0,7,0,1,sentence,0,H3
11,0,0,87,0,0,mixed,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,97,0,0,mixed,0,P
11,0,0,93,0,0,mixed,0,P
11,0,0,49,0,0,lower,0,P
11,0,0,55,0,0,mixed,0,P
11,0,0,41,0,0,lower,0,P
11,0,0,90,0,0,lower,0,P
11,0,0,14,0,0,lower,0,P
11,0,0,57,0,0,lower,0,P
11,0,0,52,0,0,mixed,0,P
11,0,0,68,0,0,mixed,0,P
11,0,0,78,0,0,lower,0,P
11,0,0,37,0,0,lower,0,P
11,0,0,49,0,0,mixed,0,P
11,0,0,82,0,0,mixed,0,P
11,0,0,29,0,0,mixed,0,P
11,0,1,9,0,0,sentence,0,P
11,0,0,85,0,0,mixed,0,P
11,0,0,86,0,0,mixed,0,P
11,0,0,69,0,0,mixed,0,P
11,0,0,88,0,0,mixed,0,P
10,0,0,82,0,0,mixed,0,P
11,1,1,15,0,0,sentence,0,P
11,0,0,95,0,0,sentence,0,P
11,0,0,87,0,0,mixed,0,P
11,0,0,87,0,0,lower,0,P
11,0,0,10,0,0,lower,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,40,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
11,0,0,90,0,0,sentence,0,P
11,0,0,50,0,0,mixed,0,P
11,0,0,93,0,0,mixed,0,P
11,0,0,84,0,0,mixed,0,P
11,0,0,85,0,0,lower,0,P
11,0,0,92,0,0,mixed,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,34,0,0,lower,0,P
12,1,0,10,0,1,sentence,0,H3
11,0,0,89,0,0,mixed,0,P
11,0,0,88,0,0,mixed,0,P
11,0,0,94,0,0,mixed,0,P
11,0,0,72,0,0,mixed,0,P
11,0,0,96,0,0,sentence,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,92,0,0,lower,0,P
11,0,0,88,0,0,lower,0,P
11,0,0,95,0,0,lower,0,P
11,0,0,40,0,0,lower,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,94,0,0,mixed,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,93,0,0,mixed,0,P
11,0,0,93,0,0,lower,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,61,0,0,lower,0,P
11,0,0,88,0,0,mixed,0,P
11,0,0,86,0,0,mixed,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,96,0,0,lower,0,P
11,0,0,70,0,0,lower,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,94,0,0,lower,0,P
11,0,0,6,0,0,lower,0,P
11,0,0,96,0,0,sentence,0,P
11,0,0,86,0,0,mixed,0,P
11,0,0,91,0,0,mixed,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,94,0,0,mixed,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,88,0,0,lower,0,P
11,0,0,88,0,0,mixed,0,P
11,0,0,85,0,0,mixed,0,P
11,0,0,87,0,0,mixed,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,95,0,0,mixed,0,P
11,0,0,81,0,0,mixed,0,P
11,0,0,88,0,0,mixed,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,89,0,0,mixed,0,P
11,0,0,4,0,0,upper,0,P
11,0,0,90,0,0,mixed,0,P
11,0,0,101,0,0,mixed,0,P
11,0,0,87,0,0,mixed,0,P
11,0,0,92,0,0,mixed,0,P
11,0,0,90,0,0,lower,0,P
11,0,0,78,0,0,lower,0,P
11,0,0,55,0,0,mixed,0,P
11,1,1,35,0,0,mixed,0,H3
11,0,0,86,0,0,sentence,0,P
11,0,0,16,0,0,sentence,0,P
11,0,0,82,0,0,sentence,0,P
11,0,0,29,0,0,lower,0,P
11,1,1,42,0,0,sentence,0,H3
11,0,0,81,0,0,mixed,0,P
11,0,0,21,0,0,lower,0,P
11,0,0,87,0,0,sentence,0,P
11,0,0,29,0,0,lower,0,P
11,1,1,28,0,0,sentence,0,H3
11,0,0,69,0,0,sentence,0,P
11,0,0,68,0,0,sentence,0,P
11,1,1,15,0,0,sentence,0,H3
11,0,0,91,0,0,sentence,0,P
11,0,0,45,0,0,mixed,0,P
11,0,0,91,0,0,sentence,0,P
11,0,0,75,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
11,1,1,22,0,0,sentence,0,H3
11,0,0,84,0,0,sentence,0,P
11,0,0,88,0,0,mixed,0,P
11,0,0,46,0,0,lower,0,P
11,0,0,41,0,0,mixed,0,P
11,1,1,7,0,0,sentence,0,H3
11,0,0,64,0,0,mixed,0,P
11,0,0,46,0,0,lower,0,P
11,0,0,33,0,0,lower,0,P
11,0,0,28,0,0,lower,0,P
11,1,1,20,0,0,mixed,0,H3
11,0,0,21,0,0,lower,0,P
11,0,0,74,0,0,lower,0,P
11,0,0,40,0,0,lower,0,P
11,1,1,9,0,0,sentence,0,H3
11,0,0,19,0,0,lower,0,P
11,0,0,22,0,0,lower,0,P
11,1,1,34,0,0,mixed,0,H3
11,0,0,67,0,0,lower,0,P
11,1,1,22,0,0,mixed,0,H3
11,0,0,76,0,0,lower,0,P
11,0,0,81,0,0,mixed,0,P
11,0,0,17,0,0,lower,0,P
11,1,0,31,0,0,mixed,0,H2
11,1,0,39,0,0,mixed,0,H3
11,0,0,75,0,0,sentence,0,P
11,0,0,65,0,0,lower,0,P
11,0,0,81,0,0,sentence,0,P
11,0,0,39,0,0,lower,0,P
11,0,0,75,0,0,sentence,0,P
11,0,0,66,0,0,lower,0,P
11,0,0,13,0,0,lower,0,P
11,0,0,73,0,0,sentence,0,P
11,0,0,10,0,0,lower,0,P
11,1,0,39,0,0,mixed,0,H3
11,0,0,77,0,0,sentence,0,P
11,0,0,22,0,0,lower,0,P
11,0,0,70,0,0,sentence,0,P
11,0,0,46,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
11,0,0,73,0,0,sentence,0,P
11,0,0,72,0,0,lower,0,P
11,1,0,39,0,0,mixed,0,H3
11,0,0,75,0,0,sentence,0,P
11,0,0,75,0,0,lower,0,P
11,0,0,12,0,0,lower,0,P
11,0,0,78,0,0,sentence,0,P
11,0,0,9,0,0,lower,0,P
11,0,0,79,0,0,sentence,0,P
11,0,0,63,0,0,lower,0,P
11,1,0,41,0,0,mixed,0,H3
11,0,1,80,0,0,mixed,0,P
11,0,0,33,0,0,lower,0,P
11,0,0,74,0,0,mixed,0,P
11,0,0,72,0,0,mixed,0,P
11,0,0,71,0,0,sentence,0,P
11,0,0,46,0,0,mixed,0,P
11,0,0,78,0,0,sentence,0,P
11,0,0,69,0,0,lower,0,P
11,0,0,28,0,0,lower,0,P
11,0,0,92,0,0,mixed,0,P
11,0,0,88,0,0,mixed,0,P
11,0,0,85,0,0,mixed,0,P
11,0,0,89,0,0,sentence,0,P
11,0,0,35,0,0,mixed,0,P
12,1,0,33,0,1,mixed,0,H2
11,0,0,88,0,0,mixed,0,P
11,0,0,81,0,0,mixed,0,P
11,0,0,90,0,0,lower,0,P
11,0,0,87,1,0,mixed,0,P
11,0,0,38,0,0,mixed,0,P
11,0,0,45,0,0,sentence,0,P
11,0,0,55,0,0,mixed,0,P
11,0,0,41,0,0,lower,0,P
11,0,0,90,0,0,lower,0,P
11,0,0,14,0,0,lower,0,P
11,0,0,57,0,0,lower,0,P
11,0,0,52,0,0,mixed,0,P
11,0,0,68,0,0,mixed,0,P
11,0,0,78,0,0,lower,0,P
11,0,0,37,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
11,0,0,49,0,0,mixed,0,P
11,0,0,60,0,0,lower,0,P
11,0,0,90,0,0,sentence,0,P
11,0,0,90,0,0,mixed,0,P
11,0,1,58,0,0,lower,0,P
11,0,0,86,0,0,mixed,0,P
11,0,0,90,0,0,lower,0,P
11,0,0,93,0,0,mixed,0,P
11,0,0,95,0,0,lower,0,P
11,0,0,94,0,0,mixed,0,P
11,0,0,68,0,0,mixed,0,P
12,1,0,10,0,1,sentence,0,H2
11,0,1,56,0,0,mixed,0,P
11,0,1,90,0,0,mixed,0,P
11,0,1,83,0,0,mixed,0,P
11,0,1,30,0,0,lower,0,P
11,0,1,81,0,0,mixed,0,P
11,0,1,33,0,0,mixed,0,P
12,1,0,43,0,1,mixed,0,H2
11,0,0,91,0,0,sentence,0,P
11,0,0,85,0,0,mixed,0,P
11,0,0,94,0,0,sentence,0,P
11,0,0,89,0,0,lower,0,P
11,0,0,39,0,0,lower,0,P
11,0,0,54,0,0,sentence,0,P
11,0,0,30,1,0,lower,0,P
11,0,0,81,1,0,lower,0,P
11,0,0,71,0,0,lower,0,P
11,0,0,85,1,0,lower,0,P
11,0,0,44,0,0,lower,0,P
11,0,0,65,1,0,lower,0,P
11,0,0,82,1,0,lower,0,P
11,0,0,20,0,0,lower,0,P
11,0,0,91,1,0,lower,0,P
11,0,0,9,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
12,1,0,35,0,1,mixed,0,H2
11,0,0,100,0,0,sentence,0,P
11,0,0,98,0,0,mixed,0,P
11,0,0,75,0,0,mixed,0,P
11,0,0,88,0,0,sentence,0,P
11,0,0,88,0,0,sentence,0,P
11,0,0,23,0,0,sentence,0,P
11,0,0,24,0,0,sentence,0,P
11,0,0,38,0,0,sentence,0,P
11,0,0,66,0,0,mixed,0,P
11,0,0,80,0,0,mixed,0,P
11,0,0,22,0,0,lower,0,P
11,0,0,94,0,0,mixed,0,P
11,0,0,10,0,0,sentence,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
