size,bold,italic,text_len,num_prefix,is_larger_than_common_font,text_case,is_bulleted,label
9,1,1,4,0,0,mixed,0,P
12,1,0,43,0,1,mixed,0,H2
10,1,0,26,0,0,mixed,0,H3
10,1,0,35,0,0,mixed,0,H3
10,1,0,96,0,0,mixed,0,H3
10,1,0,29,0,0,mixed,0,H3
10,0,0,104,0,0,mixed,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,102,0,0,sentence,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,92,0,0,lower,0,P
10,0,0,63,0,0,lower,0,P
10,1,0,40,0,0,mixed,0,H3
10,1,0,34,0,0,mixed,0,H3
10,1,0,93,0,0,mixed,0,H3
10,0,1,102,0,0,mixed,0,P
10,0,1,42,0,0,lower,0,P
10,1,0,44,0,0,mixed,0,H3
10,0,0,95,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,103,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,90,0,0,mixed,0,P
10,0,0,105,0,0,sentence,0,P
10,0,0,100,0,0,mixed,0,P
10,0,1,97,0,0,lower,0,P
10,0,1,100,0,0,mixed,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,104,0,0,sentence,0,P
10,0,0,98,0,0,mixed,0,P
10,0,0,67,0,0,lower,0,P
10,1,0,40,0,0,mixed,0,H3
10,1,0,24,0,0,mixed,0,H3
10,1,0,69,0,0,mixed,0,H3
10,1,0,52,0,0,mixed,0,H3
10,0,0,104,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
10,0,0,106,0,0,mixed,0,P
10,0,0,19,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,107,0,0,mixed,0,P
10,0,0,104,0,0,mixed,0,P
10,0,0,95,0,0,mixed,0,P
10,0,0,53,0,0,lower,0,P
10,0,0,99,0,0,sentence,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,95,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,61,0,0,mixed,0,P
10,0,0,2,1,0,mixed,0,P
10,0,0,64,0,0,mixed,0,P
10,0,0,2,1,0,mixed,0,P
10,0,0,80,0,0,lower,0,P
10,0,0,2,1,0,mixed,0,P
10,0,0,93,0,0,lower,0,P
10,0,0,22,0,0,lower,0,P
10,1,0,29,0,0,upper,0,H3
12,1,0,14,0,1,mixed,0,P
10,0,0,10,0,0,sentence,0,P
10,0,0,9,0,0,sentence,0,P
10,0,0,9,0,0,sentence,0,P
10,0,0,13,0,0,mixed,0,P
10,1,0,12,0,0,upper,0,P
12,1,0,4,0,1,mixed,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,4,0,0,upper,0,P
12,1,0,4,0,1,mixed,0,P
10,0,0,13,0,0,upper,0,P
10,0,0,12,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,11,0,0,upper,0,P
10,0,0,4,0,0,upper,0,P
10,0,0,103,0,0,mixed,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,46,0,0,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,105,0,0,mixed,0,P
10,0,0,107,0,0,lower,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,95,0,0,mixed,0,P
10,1,1,45,0,0,lower,0,P
10,0,0,108,0,0,mixed,0,P
10,0,0,96,0,0,lower,0,P
10,0,0,105,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,1,1,47,0,0,mixed,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,8,0,0,mixed,0,P
12,1,0,11,0,1,mixed,0,H2
12,1,0,41,0,1,mixed,0,H2
10,1,0,11,1,0,mixed,0,H3
10,0,0,101,0,0,mixed,0,P
10,0,0,87,0,0,mixed,0,P
10,0,0,93,0,0,mixed,0,P
10,0,0,71,0,0,mixed,0,P
10,1,0,21,1,0,mixed,0,H3
10,0,0,94,0,0,mixed,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,25,0,0,lower,0,P
10,0,0,101,1,0,mixed,0,P
10,0,0,89,0,0,lower,0,P
10,0,0,25,0,0,lower,0,P
10,0,0,100,1,0,lower,0,P
10,0,0,90,0,0,lower,0,P
10,0,0,7,0,0,lower,0,P
10,0,0,52,1,0,lower,0,P
10,0,0,96,1,0,lower,0,P
10,0,0,13,0,0,lower,0,P
10,0,0,67,1,0,lower,0,P
10,0,0,98,1,0,lower,0,P
10,0,0,99,1,0,lower,0,P
10,0,0,21,0,0,lower,0,P
10,0,0,43,1,0,lower,0,P
10,0,0,96,1,0,mixed,0,P
10,0,0,26,0,0,lower,0,P
10,1,0,13,1,0,mixed,0,H3
10,0,0,101,0,0,mixed,0,P
10,0,0,41,0,0,lower,0,P
10,0,0,12,1,0,mixed,0,P
10,0,0,90,0,0,mixed,1,P
10,0,0,84,0,0,mixed,0,P
10,0,1,24,0,0,mixed,0,P
10,0,0,17,1,0,mixed,0,P
10,0,0,63,0,0,mixed,1,P
10,0,0,13,1,0,mixed,0,P
10,0,0,84,0,0,mixed,1,P
10,0,0,21,1,0,mixed,0,P
10,0,0,93,0,0,mixed,1,P
10,0,0,87,0,0,mixed,0,P
10,0,0,88,0,0,mixed,0,P
10,0,0,55,0,0,mixed,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,8,0,0,mixed,0,P
10,0,0,95,1,0,mixed,0,P
10,0,0,91,0,0,mixed,1,P
10,0,0,94,0,0,mixed,0,P
10,0,0,66,0,0,lower,0,P
10,0,0,94,1,0,mixed,0,P
10,0,0,68,0,0,lower,0,P
10,1,0,35,1,0,mixed,0,H3
10,0,0,94,1,0,mixed,0,P
10,0,0,42,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,66,0,0,sentence,0,P
10,0,0,19,0,0,sentence,1,P
10,0,0,54,0,0,sentence,1,P
10,0,0,52,0,0,sentence,1,P
10,0,0,42,0,0,sentence,1,P
10,0,0,44,0,0,sentence,1,P
10,0,0,37,0,0,sentence,1,P
12,0,0,87,0,1,mixed,1,P
10,0,0,63,0,0,lower,0,P
10,1,0,7,1,0,mixed,0,H3
10,0,0,91,0,0,mixed,0,P
10,0,0,87,0,0,mixed,0,P
10,1,0,8,1,0,mixed,0,H3
10,0,0,72,0,0,mixed,0,P
10,0,0,18,0,0,mixed,0,P
10,0,0,104,0,0,sentence,0,P
10,0,0,96,0,0,mixed,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,79,0,0,lower,0,P
10,1,0,11,1,0,mixed,0,H3
10,0,0,99,0,0,sentence,0,P
10,0,0,40,0,0,lower,0,P
10,1,0,44,1,0,mixed,0,H3
10,0,0,94,1,0,mixed,0,P
10,0,0,8,0,0,lower,0,P
10,0,0,104,1,0,mixed,0,P
10,0,0,86,0,0,mixed,0,P
10,0,0,82,0,0,mixed,0,P
10,0,0,82,0,0,mixed,0,P
10,0,0,52,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,8,0,0,mixed,0,P
10,0,0,94,1,0,mixed,0,P
10,0,0,86,0,0,mixed,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,54,0,0,mixed,0,P
10,1,0,40,1,0,mixed,0,H3
10,0,0,57,1,0,mixed,0,P
10,0,0,94,1,0,mixed,0,P
10,0,0,43,0,0,mixed,0,P
10,0,0,25,1,0,mixed,0,P
10,0,0,94,0,0,mixed,0,P
10,0,0,90,0,0,lower,0,P
10,0,0,88,0,0,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,62,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,8,0,0,mixed,0,P
12,1,0,11,0,1,mixed,0,H2
12,1,0,36,0,1,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,86,0,0,mixed,0,P
10,0,0,90,0,0,lower,0,P
10,0,0,98,0,0,mixed,0,P
10,0,0,49,0,0,mixed,0,P
10,0,0,22,1,0,mixed,0,P
10,0,0,93,0,0,lower,1,P
10,0,0,9,0,0,lower,0,P
10,0,0,31,0,0,lower,1,P
10,0,0,39,0,0,lower,1,P
10,0,0,21,0,0,lower,0,P
10,0,0,14,0,0,lower,1,P
10,0,0,37,0,0,lower,1,P
10,0,0,21,0,0,lower,1,P
10,0,0,18,0,0,lower,1,P
10,0,0,44,0,0,lower,1,P
10,0,0,35,0,0,lower,1,P
10,0,0,22,0,0,lower,1,P
10,0,0,28,0,0,lower,1,P
10,0,0,30,0,0,lower,0,P
10,0,0,24,0,0,lower,0,P
10,0,0,27,0,0,lower,0,P
10,0,0,17,1,0,mixed,0,P
10,0,0,20,0,0,lower,0,P
10,0,0,24,0,0,lower,1,P
10,0,0,11,0,0,lower,1,P
10,0,0,22,0,0,lower,0,P
10,0,0,43,0,0,lower,0,P
10,0,0,19,0,0,lower,0,P
10,0,0,23,0,0,lower,0,P
10,0,0,16,0,0,lower,0,P
10,0,0,20,0,0,lower,0,P
10,0,0,24,1,0,mixed,0,P
10,0,0,68,0,0,lower,0,P
10,0,0,13,0,0,lower,0,P
10,0,0,24,0,0,lower,0,P
10,0,0,20,0,0,lower,0,P
10,0,0,23,0,0,lower,0,P
10,0,0,36,1,0,mixed,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,8,0,0,mixed,0,P
24,1,0,8,0,1,sentence,0,H1
24,1,0,27,0,1,mixed,0,H1
12,0,0,11,0,1,sentence,0,P
18,0,0,51,0,1,mixed,0,H1
10,0,0,16,0,0,mixed,0,P
10,0,0,93,0,0,sentence,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
10,0,0,89,0,0,mixed,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
16,1,0,16,0,1,mixed,0,H2
10,1,0,7,0,0,sentence,0,P
10,0,0,15,0,0,sentence,0,P
10,0,0,25,0,0,mixed,0,P
10,0,0,30,0,0,lower,0,P
10,0,0,47,0,0,mixed,0,P
10,0,0,28,0,0,sentence,0,P
10,0,0,30,0,0,mixed,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
16,1,0,17,0,1,mixed,0,H2
10,1,0,16,0,0,mixed,0,H3
10,1,0,1,0,0,mixed,0,P
10,1,0,17,0,0,mixed,0,H3
10,1,0,136,0,0,mixed,0,P
10,1,0,1,0,0,mixed,0,P
10,1,0,2,1,0,mixed,0,P
10,1,0,2,1,0,mixed,0,P
10,1,0,47,0,0,mixed,0,H3
10,1,0,76,0,0,mixed,0,P
10,1,0,1,0,0,mixed,0,P
10,1,0,55,0,0,mixed,0,H3
10,1,0,63,0,0,mixed,0,P
10,1,0,1,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,17,0,0,mixed,0,P
10,0,0,28,1,0,mixed,0,P
10,0,0,19,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,18,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,29,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,18,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,117,0,0,mixed,0,P
10,0,0,108,0,0,mixed,0,P
10,0,0,115,0,0,mixed,0,P
10,0,0,115,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,118,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,1,0,67,1,0,mixed,0,H3
10,1,0,41,0,0,mixed,0,P
10,1,0,2,0,0,mixed,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,11,1,0,mixed,0,P
10,0,0,17,0,0,mixed,0,P
10,0,0,113,0,0,mixed,0,P
10,0,0,132,0,0,mixed,0,P
10,0,0,2,0,0,mixed,0,P
10,0,0,2,0,0,mixed,0,P
10,1,0,13,1,0,mixed,0,H3
10,1,0,138,0,0,mixed,0,P
10,1,0,2,0,0,mixed,0,P
10,0,0,10,0,0,sentence,0,P
10,0,0,3,1,0,mixed,0,P
10,0,0,27,1,0,mixed,0,P
10,0,0,125,0,0,mixed,0,P
10,0,0,103,0,0,mixed,0,P
10,0,0,2,0,0,mixed,0,P
10,0,0,2,0,0,mixed,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
16,0,0,16,0,1,sentence,0,H2
10,0,0,97,0,0,mixed,0,P
10,0,0,31,0,0,mixed,0,P
10,0,0,104,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,94,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,88,0,0,mixed,0,P
10,0,0,93,0,0,mixed,0,P
10,0,0,71,0,0,mixed,0,P
10,0,0,89,0,0,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,91,0,0,mixed,0,P
10,0,0,56,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,105,0,0,mixed,0,P
10,0,0,94,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,109,0,0,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,81,0,0,mixed,0,P
10,0,0,95,0,0,mixed,0,P
10,0,0,5,1,0,mixed,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
16,0,0,50,1,1,mixed,0,H1
10,0,0,92,0,0,mixed,0,P
10,0,0,106,0,0,sentence,0,P
10,0,0,18,0,0,lower,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,56,0,0,mixed,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,96,0,0,mixed,0,P
10,0,0,106,0,0,mixed,0,P
10,0,0,106,0,0,mixed,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,42,0,0,lower,0,P
10,0,0,68,0,0,mixed,0,P
10,0,0,12,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,93,0,0,mixed,0,P
10,0,0,106,0,0,mixed,0,P
10,0,0,111,0,0,lower,0,P
10,0,0,6,0,0,lower,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
16,0,0,58,1,1,mixed,0,H1
10,0,0,99,0,0,mixed,0,P
10,0,0,34,0,0,mixed,0,P
10,0,0,67,0,0,sentence,0,P
10,0,0,103,0,0,mixed,0,P
10,0,0,105,0,0,mixed,0,P
10,0,0,37,0,0,lower,0,P
14,0,0,21,1,1,mixed,0,H2
10,0,0,104,0,0,mixed,0,P
10,0,0,95,1,0,mixed,0,P
10,0,0,40,0,0,mixed,0,P
10,0,0,97,1,0,mixed,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,12,0,0,lower,0,P
10,0,0,97,1,0,mixed,0,P
10,0,0,65,0,0,mixed,0,P
10,0,0,89,1,0,mixed,0,P
10,0,0,90,0,0,mixed,0,P
10,0,0,9,0,0,lower,0,P
10,0,0,104,0,0,sentence,0,P
10,0,0,77,0,0,lower,0,P
10,0,0,97,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,59,0,0,lower,0,P
10,0,0,28,0,0,mixed,0,P
10,0,0,12,0,0,lower,0,P
14,0,0,28,1,1,mixed,0,H2
10,0,0,104,0,0,mixed,0,P
10,0,0,104,0,0,mixed,0,P
10,0,0,109,0,0,mixed,0,P
10,0,0,17,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,40,0,0,mixed,0,P
14,0,0,23,1,1,mixed,0,H2
10,0,0,106,0,0,mixed,0,P
10,0,0,79,0,0,mixed,0,P
10,0,0,104,0,0,mixed,0,P
10,0,0,15,0,0,lower,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
10,0,0,97,0,0,sentence,0,P
10,0,0,105,0,0,mixed,0,P
10,0,0,50,0,0,lower,0,P
14,0,0,22,1,1,mixed,0,H2
10,0,0,97,0,0,mixed,0,P
10,0,0,48,0,0,mixed,0,P
14,0,0,33,1,1,mixed,0,H2
10,0,0,94,0,0,mixed,0,P
10,0,0,26,0,0,mixed,0,P
10,0,0,67,0,0,sentence,0,P
10,1,0,8,0,0,sentence,0,P
10,0,0,20,0,0,mixed,0,P
10,0,0,23,0,0,mixed,0,P
10,1,0,4,0,0,sentence,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,1,0,0,mixed,0,P
10,0,0,98,0,0,mixed,0,P
10,0,0,17,0,0,mixed,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
14,0,0,22,1,1,mixed,0,H2
10,0,0,102,0,0,mixed,0,P
10,0,0,94,0,0,mixed,0,P
10,0,0,100,0,0,lower,0,P
10,0,0,72,0,0,mixed,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
10,0,0,12,0,0,sentence,0,P
6,0,0,51,0,0,mixed,0,P
12,0,0,8,0,1,sentence,0,P
10,0,0,39,0,0,mixed,0,P
10,0,0,13,0,0,sentence,0,P
10,0,0,16,0,0,mixed,0,P
10,0,0,20,0,0,mixed,0,P
16,0,0,58,1,1,mixed,0,H1
16,1,0,8,0,1,sentence,0,H1
14,0,0,21,1,1,mixed,0,H2
10,0,0,102,0,0,mixed,0,P
